,team,runs,BB,1B,2B,3B,HR,ParkID
4532,"""OAK""",5,4,7,1,0,1,"""CHI11"""
4533,"""CHN""",3,4,6,0,0,0,"""CHI11"""
4534,"""ATL""",7,1,5,4,0,2,"""CIN09"""
4535,"""CIN""",1,3,3,0,2,0,"""CIN09"""
4536,"""ARI""",9,5,7,2,0,3,"""DEN02"""
4537,"""COL""",4,2,7,1,0,0,"""DEN02"""
4538,"""LAN""",8,1,7,1,0,3,"""MIA02"""
4539,"""MIA""",4,3,6,2,0,0,"""MIA02"""
4540,"""PHI""",1,3,3,0,0,1,"""MIL06"""
4541,"""MIL""",2,3,2,1,1,1,"""MIL06"""
4542,"""WAS""",0,3,2,1,0,0,"""NYC20"""
4543,"""NYN""",10,4,8,1,0,2,"""NYC20"""
4544,"""HOU""",0,0,2,0,0,0,"""SAN02"""
4545,"""SDN""",4,2,4,1,0,4,"""SAN02"""
4546,"""PIT""",5,0,8,4,0,1,"""STL10"""
4547,"""SLN""",10,4,9,2,1,2,"""STL10"""
4548,"""CHA""",3,6,5,0,0,1,"""ANA01"""
4549,"""ANA""",4,7,7,0,0,0,"""ANA01"""
4550,"""SFN""",5,1,7,0,0,2,"""BAL12"""
4551,"""BAL""",3,3,5,2,0,0,"""BAL12"""
4552,"""MIN""",4,1,6,2,0,0,"""CLE08"""
4553,"""CLE""",5,1,5,0,0,2,"""CLE08"""
4554,"""DET""",4,6,5,1,0,1,"""KAN06"""
4555,"""KCA""",2,2,6,1,0,0,"""KAN06"""
4556,"""NYA""",2,5,1,2,0,0,"""SEA03"""
4557,"""SEA""",1,6,4,1,0,1,"""SEA03"""
4558,"""BOS""",2,1,4,1,0,1,"""STP01"""
4559,"""TBA""",1,2,7,1,0,0,"""STP01"""
4560,"""TOR""",0,0,4,1,0,0,"""ARL03"""
4561,"""TEX""",2,1,3,1,0,1,"""ARL03"""
4562,"""WAS""",6,3,8,4,0,1,"""CHI11"""
4563,"""CHN""",7,1,11,0,0,1,"""CHI11"""
4564,"""ATL""",15,3,11,1,0,6,"""CIN09"""
4565,"""CIN""",3,3,8,1,0,1,"""CIN09"""
4566,"""LAN""",20,10,10,3,0,3,"""MIA02"""
4567,"""MIA""",4,3,5,1,0,3,"""MIA02"""
4568,"""ARI""",5,4,6,0,0,1,"""MIL06"""
4569,"""MIL""",1,0,1,0,0,1,"""MIL06"""
4570,"""PHI""",6,3,5,2,0,1,"""NYC20"""
4571,"""NYN""",10,8,5,1,1,4,"""NYC20"""
4572,"""PIT""",3,3,5,1,1,1,"""STL10"""
4573,"""SLN""",2,3,5,1,0,0,"""STL10"""
4574,"""SFN""",3,4,7,0,0,1,"""BAL12"""
4575,"""BAL""",5,3,8,1,0,1,"""BAL12"""
4576,"""MIN""",2,5,1,2,0,0,"""CLE08"""
4577,"""CLE""",3,4,9,1,0,1,"""CLE08"""
